activity_time_id,employee_id,activity_id,activity_date,minutes,factor_value,notes_internal
402,9,15,2025-05-13,480,1.0,
604,9,15,2025-05-19,480,1.0,
188,9,15,2025-04-22,480,1.0,
1514,9,15,2025-08-13,480,1.0,
370,9,15,2025-05-09,480,1.0,
189,9,15,2025-04-23,480,1.0,
168,9,15,2025-04-04,480,1.0,
1584,9,15,2025-08-20,480,1.0,
863,9,15,2025-06-11,480,1.0,
607,9,15,2025-05-22,480,1.0,
177,9,15,2025-04-11,480,1.0,
960,9,15,2025-06-24,480,1.0,
606,9,15,2025-05-21,480,1.0,
367,9,15,2025-05-06,480,1.0,
194,9,15,2025-04-28,480,1.0,
183,9,15,2025-04-17,480,1.0,
1583,9,15,2025-08-19,480,1.0,
1634,9,15,2025-08-28,480,1.0,
1513,9,15,2025-08-12,480,1.0,
864,9,15,2025-06-12,480,1.0,
1512,9,15,2025-08-11,480,1.0,
862,9,15,2025-06-10,480,1.0,
836,9,15,2025-06-05,480,1.0,
404,9,15,2025-05-15,480,1.0,
611,9,15,2025-05-26,480,1.0,
195,9,15,2025-04-29,480,1.0,
182,9,15,2025-04-16,480,1.0,
403,9,15,2025-05-14,480,1.0,
1515,9,15,2025-08-14,480,1.0,
612,9,15,2025-05-27,480,1.0,
834,9,15,2025-06-03,480,1.0,
835,9,15,2025-06-04,480,1.0,
1586,9,15,2025-08-22,480,1.0,
925,9,15,2025-06-17,480,1.0,
405,9,15,2025-05-16,480,1.0,
11674,8,16,2025-08-19,480,1.0,
1074,8,16,2025-07-03,480,1.0,
11683,8,16,2025-08-14,480,1.0,
284,8,16,2025-05-02,480,1.0,
11676,8,16,2025-08-21,480,1.0,
548,8,16,2025-05-26,480,1.0,
257,8,16,2025-04-23,480,1.0,
1052,8,16,2025-06-18,480,1.0,
258,8,16,2025-04-24,480,1.0,
259,8,16,2025-04-25,480,1.0,
534,8,16,2025-05-19,480,1.0,
256,8,16,2025-04-22,480,1.0,
535,8,16,2025-05-20,480,1.0,
538,8,16,2025-05-23,480,1.0,
513,8,16,2025-05-05,480,1.0,
262,8,16,2025-04-28,480,1.0,
1046,8,16,2025-06-12,480,1.0,
516,8,16,2025-05-08,480,1.0,
517,8,16,2025-05-09,480,1.0,
241,8,16,2025-04-07,480,1.0,
1050,8,16,2025-06-16,480,1.0,
11675,8,16,2025-08-20,480,1.0,
1075,8,16,2025-07-04,480,1.0,
11677,8,16,2025-08-22,480,1.0,
1043,8,16,2025-06-09,480,1.0,
11670,8,16,2025-08-29,480,1.0,
514,8,16,2025-05-06,480,1.0,
11680,8,16,2025-08-11,480,1.0,
11673,8,16,2025-08-18,480,1.0,
550,8,16,2025-05-28,480,1.0,
520,8,16,2025-05-12,480,1.0,
1051,8,16,2025-06-17,480,1.0,
11681,8,16,2025-08-12,480,1.0,
1073,8,16,2025-07-02,480,1.0,
1036,8,16,2025-06-02,480,1.0,
1058,8,16,2025-06-24,480,1.0,
